Word,Sana,Rank
deny,kieltää,1413
apparently,ilmeisesti,1414
slightly,hieman,1415
reaction,reaktio,1416
twice,kahdesti,1417
suit,puku,1418
perspective,näkökulma,1419
growing,kasvaa,1420
blow,isku,1421
construction,rakentaminen,1422
kind,kiltti,1423
intelligence,älykkyys,1424
destroy,tuhota,1425
cook,kokki,1426
connection,yhteys,1427
charge,veloittaa,1428
burn,polttaa,1429
shoe,kenkä,1430
view,näkymä,1431
grade,arvosana,1432
context,konteksti,1433
committee,komitea,1434
hey,Hei,1435
mistake,virhe,1436
focus,fokus,1437
smile,hymy,1438
location,sijainti,1439
clothes,vaatteet,1440
Indian,intialainen,1441
quiet,hiljainen,1442
dress,pukeutua,1443
promise,lupaus,1444
aware,tietoinen,1445
neighbor,naapuri-,1446
complete,saattaa loppuun,1447
drive,ajaa,1448
function,toiminto,1449
bone,luu,1450
active,aktiivinen,1451
extend,pidentää,1452
chief,päällikkö,1453
average,keskiverto,1454
combine,yhdistää,1455
wine,viini,1456
below,alla,1457
cool,viileä,1458
voter,äänestäjä,1459
mean,tarkoittaa,1460
demand,kysyntä,1461
learning,oppiminen,1462
bus,bussi,1463
hell,helvetti,1464
dangerous,vaarallinen,1465
remind,muistuttaa,1466
moral,moraalinen,1467
United,yhdistynyt,1468
category,kategoria,1469
relatively,suhteellisesti,1470
victory,voitto,1471
key,avain,1472
academic,akateeminen,1473
visit,vierailla,1474
Internet,Internet,1475
healthy,terve,1476
fire,antaa potkut,1477
negative,negatiivinen,1478
following,seurata,1479
historical,historiallinen,1480
medicine,lääketiede,1481
tour,kiertue,1482
depend,riippua,1483
photo,kuva,1484
finding,havainto,1485
grab,napata,1486
direct,suoraan,1487
classroom,luokkahuone,1488
contact,ottaa yhteyttä,1489
justice,oikeudenmukaisuus,1490
participate,osallistua,1491
daily,päivittäin,1492
fair,oikeudenmukainen,1493
pair,pari,1494
famous,kuuluisa,1495
exercise,liikunta,1496
knee,polvi,1497
flower,kukka,1498
tape,nauha,1499
hire,vuokraus,1500
familiar,tuttu,1501
appropriate,sopiva,1502
supply,toimittaa,1503
fully,täysin,1504
cut,leikata,1505
will,tahtoa,1506
actor,näyttelijä,1507
birth,syntymä,1508
search,Hae,1509
tie,solmio,1510
democracy,demokratia,1511
eastern,itäinen,1512
primary,ensisijainen,1513
yesterday,eilen,1514
circle,ympyrä,1515
device,laite,1516
progress,edistyminen,1517
next,Seuraava,1518
front,etuosa,1519
bottom,pohja,1520
island,saari,1521
exchange,vaihto,1522
clean,puhdas,1523
studio,studio,1524
train,kouluttaa,1525
lady,nainen,1526
colleague,kollega,1527
application,hakemus,1528
neck,niska,1529
lean,nojata,1530
damage,vahingoittaa,1531
plastic,muovi-,1532
tall,pitkä,1533
plate,levy,1534
hate,vihata,1535
otherwise,muuten,1536
writing,kirjoittaminen,1537
press,Lehdistö,1538
male,Uros,1539
start,alkaa,1540
alive,elossa,1541
expression,ilmaisu,1542
football,jalkapallo,1543
intend,aikoo,1544
attack,hyökkäys,1545
chicken,kana,1546
army,armeija,1547
abuse,väärinkäyttö,1548
theater,teatteri,1549
shut,sulkea,1550
map,kartta,1551
extra,ylimääräinen,1552
session,istunto,1553
danger,vaara,1554
welcome,Tervetuloa,1555
domestic,kotimainen,1556
lots,paljon,1557
literature,kirjallisuus,1558
rain,sade,1559
desire,himoita,1560
assessment,arviointi,1561
injury,vahinko,1562
respect,kunnioittaminen,1563
northern,pohjoinen,1564
nod,nyökkäys,1565
paint,maali-,1566
fuel,polttoaine,1567
leaf,puun lehti,1568
direct,suoraan,1569
dry,kuiva,1570
Russian,Venäjän kieli,1571
instruction,ohje,1572
fight,taistella,1573
pool,pool,1574
climb,kiivetä,1575
sweet,makea,1576
lead,johtaa,1577
engine,moottori,1578
fourth,neljäs,1579
salt,suola,1580
expand,laajentaa,1581
importance,merkitys,1582
metal,metalli-,1583
fat,rasva,1584
ticket,lippu,1585
software,ohjelmisto,1586
disappear,kadota,1587
corporate,yritys-,1588
strange,outo,1589
lip,huuli,1590
reading,lukeminen,1591
urban,kaupunki-,1592
mental,henkinen,1593
increasingly,yhä useammin,1594
lunch,lounas,1595
educational,koulutuksellinen,1596
somewhere,jonnekin,1597
farmer,viljelijä,1598
above,edellä,1599
sugar,sokeri,1600
planet,planeetta,1601
favorite,suosikki-,1602
explore,tutkia,1603
obtain,saada,1604
enemy,vihollinen,1605
greatest,suurin,1606
complex,monimutkainen,1607
surround,ympäröidä,1608
athlete,urheilija,1609
invite,kutsu,1610
repeat,toistaa,1611
carefully,huolellisesti,1612
soul,sielu,1613
scientific,tieteellinen,1614
impossible,mahdoton,1615
panel,paneeli,1616
meaning,merkitys,1617
mom,äiti,1618
married,naimisissa,1619
alone,yksin,1620
instrument,väline,1621
predict,ennustaa,1622
weather,sää,1623
presidential,presidentin-,1624
emotional,tunteellinen,1625
commitment,sitoutuminen,1626
Supreme,Ylin,1627
bear,karhu,1628
pocket,tasku-,1629
thin,ohut,1630
temperature,lämpötila,1631
surprise,yllätys,1632
poll,äänestys,1633
proposal,ehdotus,1634
consequence,seuraus,1635
half,puoli,1636
breath,hengitys,1637
sight,näky,1638
cover,peite,1639
balance,saldo,1640
adopt,hyväksyä,1641
minority,vähemmistö,1642
straight,suoraan,1643
attempt,yrittää,1644
connect,kytkeä,1645
works,teokset,1646
teaching,opetus,1647
belong,kuulua,1648
aid,apu,1649
advice,neuvot,1650
okay,Okei,1651
photograph,valokuva,1652
empty,tyhjä,1653
regional,alueellinen,1654
trail,polku,1655
novel,uusi,1656
code,koodi,1657
somehow,jollakin tavalla,1658
organize,järjestää,1659
jury,tuomaristo,1660
breast,rinta,1661
Iraqi,irakilainen,1662
human,ihmisen,1663
acknowledge,tunnustaa,1664
theme,teema,1665
storm,myrsky,1666
union,liitto,1667
record,ennätys,1668
desk,vastaanotto,1669
fear,pelko,1670
thanks,Kiitos,1671
fruit,hedelmä,1672
under,alla,1673
expensive,kallis,1674
yellow,keltainen,1675
conclusion,johtopäätös,1676
prime,tärkein,1677
shadow,varjo,1678
struggle,taistelu,1679
conclude,solmia,1680
analyst,analyytikko,1681
dance,tanssi,1682
limit,raja,1683
like,Kuten,1684
regulation,säätö,1685
being,ollessa,1686
last,kestää,1687
ring,rengas,1688
largely,enimmäkseen,1689
shift,siirtää,1690
revenue,tulot,1691
mark,merkki,1692
locate,paikantaa,1693
county,lääni,1694
appearance,ulkomuoto,1695
package,paketti,1696
difficulty,vaikeus,1697
bridge,silta,1698
recommend,suositella,1699
obvious,ilmeinen,1700
train,kouluttaa,1701
basically,pohjimmiltaan,1702
e-mail,sähköposti,1703
generate,Tuottaa,1704
anymore,enää,1705
propose,ehdottaa,1706
thinking,ajattelu,1707
possibly,mahdollisesti,1708
trend,trendi,1709
visitor,vierailija,1710
loan,lainata,1711
currently,tällä hetkellä,1712
comfortable,mukava,1713
investor,sijoittaja,1714
but,mutta,1715
profit,voitto,1716
angry,suuttunut,1717
crew,miehistö,1718
deep,syvä,1719
accident,onnettomuus,1720
male,Uros,1721
meal,ateria,1722
hearing,kuulo,1723
traffic,liikenne,1724
muscle,lihas,1725
notion,käsite,1726
capture,kaapata,1727
prefer,mieluummin,1728
truly,todella,1729
earth,maa,1730
Japanese,japanilainen,1731
chest,rinta,1732
search,Hae,1733
thick,paksu,1734
cash,Käteinen raha,1735
museum,museo,1736
beauty,kauneus,1737
emergency,hätä,1738
unique,ainutlaatuinen,1739
feature,ominaisuus,1740
internal,sisäinen,1741
ethnic,etninen,1742
link,linkki,1743
stress,stressi,1744
content,pitoisuus,1745
select,valita,1746
root,juuri,1747
nose,nenä,1748
declare,julistaa,1749
outside,ulkopuolella,1750
appreciate,arvostaa,1751
actual,todellinen,1752
bottle,pullo,1753
hardly,tuskin,1754
setting,asetus,1755
launch,tuoda markkinoille,1756
dress,pukeutua,1757
file,tiedosto,1758
sick,sairas,1759
outcome,tulokset,1760
ad,ilmoitus,1761
defend,puolustaa,1762
matter,asia,1763
judge,tuomari,1764
duty,velvollisuus,1765
sheet,arkki,1766
ought,pitäisi,1767
ensure,varmistaa,1768
Catholic,katolinen,1769
extremely,erittäin,1770
extent,laajuus,1771
component,komponentti,1772
mix,sekoittaa,1773
long-term,pitkäaikainen,1774
slow,hidas,1775
contrast,kontrasti,1776
zone,vyöhyke,1777
wake,herätä,1778
challenge,haaste,1779
airport,lentokenttä,1780
chief,päällikkö,1781
brown,ruskea,1782
standard,standardi,1783
shirt,paita,1784
pilot,lentäjä,1785
warn,varoittaa,1786
ultimately,lopulta,1787
cat,kissa,1788
contribution,panos,1789
capacity,kapasiteetti,1790
ourselves,itse,1791
estate,omaisuus,1792
guide,opas,1793
circumstance,seikka,1794
snow,lumi,1795
English,Englanti,1796
politician,poliitikko,1797
steal,varastaa,1798
pursue,jatkaa,1799
slip,lipsahdus,1800
percentage,prosenttimäärä,1801
meat,liha,1802
funny,hauska,1803
neither,ei kumpikaan,1804
soil,maaperä,1805
influence,vaikutus,1806
surgery,leikkaus,1807
correct,oikea,1808
Jewish,juutalainen,1809
blame,syyttää,1810
estimate,arvio,1811
due,maksettava,1812
basketball,koripallo,1813
late,myöhään,1814
golf,golf,1815
investigate,tutkia,1816
crazy,hullu,1817
significantly,merkittävästi,1818
chain,ketju,1819
address,osoite,1820
branch,haara,1821
combination,yhdistelmä,1822
just,vain,1823
frequently,usein,1824
governor,kuvernööri,1825
relief,helpotus,1826
user,käyttäjä,1827
dad,isä,1828
kick,potkia,1829
part,osa,1830
manner,tapa,1831
ancient,muinainen,1832
silence,hiljaisuus,1833
rating,luokitus,1834
golden,kultainen,1835
motion,liike,1836
German,Saksan kieli,1837
gender,sukupuoli,1838
solve,ratkaista,1839
fee,maksu,1840
landscape,maisema,1841
used,käytetty,1842
bowl,kulho,1843
equal,yhtä suuri,1844
long,pitkä,1845
official,virallinen,1846
forth,eteenpäin,1847
frame,kehys,1848
typical,tyypillinen,1849
except,paitsi,1850
conservative,konservatiivinen,1851
eliminate,poistaa,1852
host,isäntä,1853
hall,sali,1854
trust,luottamus,1855
ocean,valtameri,1856
score,pisteet,1857
row,rivi,1858
producer,tuottaja,1859
afford,olla varaa,1860
meanwhile,sillä välin,1861
regime,järjestelmä,1862
division,jako,1863
confirm,vahvistaa,1864
fix,korjata,1865
appeal,valitus,1866
mirror,peili,1867
tooth,hammas,1868
smart,fiksu,1869
length,pituus,1870
entirely,täysin,1871
rely,luottaa,1872
topic,aihe,1873
complain,kannella,1874
issue,ongelma,1875
variable,muuttuja,1876
back,takaisin,1877
range,alue,1878
telephone,puhelin,1879
perception,havaintokyky,1880
attract,vetää puoleensa,1881
confidence,luottamus,1882
bedroom,makuuhuone,1883
secret,salaisuus,1884
debt,velka,1885
rare,harvinainen,1886
his,hänen,1887
tank,säiliö,1888
nurse,sairaanhoitaja,1889
coverage,kattavuus,1890
opposition,oppositio,1891
aside,syrjään,1892
anywhere,missä tahansa,1893
bond,side,1894
file,tiedosto,1895
pleasure,ilo,1896
master,hallita,1897
era,aikakausi,1898
requirement,vaatimus,1899
check,tarkistaa,1900
stand,seistä,1901
fun,hauska,1902
expectation,odotus,1903
wing,siipi,1904
separate,erillinen,1905
now,nyt,1906
clear,asia selvä,1907
struggle,taistelu,1908
mean,tarkoittaa,1909
somewhat,jokseenkin,1910
pour,kaataa,1911
stir,herättää,1912
judgment,tuomio,1913
clean,puhdas,1914
except,paitsi,1915
beer,olut,1916
English,Englanti,1917
reference,viite,1918
tear,repiä,1919
doubt,epäillä,1920
grant,myöntää,1921
seriously,vakavasti,1922
account,tili,1923
minister,ministeri,1924
totally,täysin,1925
hero,sankari,1926
industrial,teollinen,1927
cloud,pilvi,1928
stretch,venyttää,1929
winner,voittaja,1930
volume,tilavuus,1931
travel,matkustaa,1932
seed,siemen,1933
surprised,yllättynyt,1934
rest,levätä,1935
fashion,muoti,1936
pepper,pippuri,1937
separate,erillinen,1938
busy,kiireinen,1939
intervention,interventio,1940
copy,kopio,1941
tip,kärki,1942
below,alla,1943
cheap,halpa,1944
aim,tavoite,1945
cite,siteerata,1946
welfare,hyvinvointi,1947
vegetable,vihannes,1948
gray,harmaa,1949
dish,ruokalaji,1950
beach,ranta,1951
improvement,parannus,1952
everywhere,joka paikassa,1953
opening,aukko,1954
overall,yleensä ottaen,1955
divide,jakaa,1956
initial,alkukirjain,1957
terrible,kauhea,1958
oppose,vastustaa,1959
contemporary,nykyajan,1960
route,reitti,1961
multiple,moninkertainen,1962
essential,olennainen,1963
question,kysymys,1964
league,liiga,1965
criminal,rikollinen,1966
careful,varovainen,1967
core,ydin,1968
upper,ylempi,1969
rush,kiire,1970
necessarily,välttämättä,1971
specifically,erityisesti,1972
tired,väsynyt,1973
rise,kohota,1974
tie,solmio,1975
employ,käyttää,1976
holiday,loma-,1977
dance,tanssi,1978
vast,valtava,1979
resolution,päätöslauselma,1980
household,kotitalous,1981
fewer,vähemmän,1982
abortion,abortti,1983
apart,erilleen,1984
witness,todistaja,1985
match,ottelu,1986
barely,Tuskin,1987
sector,sektori,1988
representative,edustaja,1989
lack,puute,1990
beneath,alla,1991
beside,vieressä,1992
black,musta,1993
incident,tapaus,1994
limited,rajallinen,1995
proud,ylpeä,1996
flow,virtaus,1997
faculty,tiedekunta,1998
increased,lisääntynyt,1999
waste,jätteet,2000
merely,vain,2001
mass,massa-,2002
emphasize,painottaa,2003
experiment,koe,2004
definitely,ehdottomasti,2005
bomb,pommi,2006
enormous,valtava,2007
tone,sävy,2008
liberal,liberaali,2009
massive,massiivinen,2010
engineer,insinööri,2011
wheel,pyörä,2012
female,Nainen,2013
decline,aleneminen,2014
invest,sijoittaa,2015
promise,lupaus,2016
cable,kaapeli,2017
towards,kohti,2018
expose,paljastaa,2019
rural,maaseudun,2020
AIDS,aids,2021
Jew,juutalainen,2022
narrow,kapea,2023
cream,kerma,2024
secretary,sihteeri,2025
gate,portti,2026
solid,vankka,2027
hill,mäki,2028
typically,tyypillisesti,2029
noise,melu,2030
grass,ruoho,2031
unfortunately,valitettavasti,2032
hat,hattu,2033
legislation,lainsäädäntö,2034
succeed,menestyä,2035
either,jompikumpi,2036
celebrate,juhlia,2037
achievement,saavutus,2038
fishing,kalastus,2039
drink,juoda,2040
accuse,moittia,2041
hand,käsi,2042
useful,hyödyllinen,2043
land,maa,2044
secret,salaisuus,2045
reject,hylätä,2046
talent,lahjakkuus,2047
taste,maku,2048
characteristic,luonteenomainen,2049
milk,maito,2050
escape,paeta,2051
cast,heittää,2052
sentence,tuomita,2053
unusual,epätavallinen,2054
closely,tarkasti,2055
convince,vakuuttaa,2056
height,korkeus,2057
physician,lääkäri,2058
assess,arvioida,2059
sleep,nukkua,2060
plenty,paljon,2061
ride,ratsastaa,2062
virtually,käytännössä,2063
first,ensimmäinen,2064
addition,lisäys,2065
sharp,terävä,2066
creative,luova,2067
lower,alempi,2068
behind,takana,2069
approve,hyväksyä,2070
explanation,selitys,2071
outside,ulkopuolella,2072
gay,homo,2073
campus,kampus,2074
proper,asianmukainen,2075
live,elää,2076
guilty,syyllinen,2077
living,elävä,2078
acquire,hankkia,2079
compete,kilpailla,2080
technical,tekninen,2081
plus,plus,2082
mind,mieli,2083
potential,mahdollinen,2084
immigrant,maahanmuuttaja,2085
weak,heikko,2086
illegal,laiton,2087
hi,Moi,2088
alternative,vaihtoehto,2089
interaction,vuorovaikutus,2090
column,sarake,2091
personality,persoonallisuus,2092
signal,signaali,2093
curriculum,opetussuunnitelma,2094
list,lista,2095
honor,kunnia,2096
passenger,matkustaja,2097
assistance,apu,2098
forever,ikuisesti,2099
fun,hauska,2100
regard,ottaa huomioon,2101
Israeli,israelilainen,2102
association,yhdistys,2103
twenty,kaksikymmentä,2104
knock,koputtaa,2105
review,arvostelu,2106
wrap,kietoa,2107
lab,laboratorio,2108
offer,tarjous,2109
display,näyttö,2110
criticism,kritiikki,2111
asset,etu,2112
depression,masennus,2113
spiritual,hengellinen,2114
musical,musikaali,2115
journalist,toimittaja,2116
prayer,rukous,2117
suspect,epäilty,2118
scholar,tutkija,2119
warning,Varoitus,2120
climate,ilmasto,2121
cheese,juusto,2122
observation,havainto,2123
childhood,lapsuus,2124
payment,maksu,2125
sir,arvon herra,2126
permit,lupa,2127
cigarette,savuke,2128
definition,määritelmä,2129
priority,prioriteetti,2130
bread,leipä,2131
creation,luominen,2132
graduate,valmistua,2133
request,pyyntö,2134
emotion,tunne,2135
scream,huutaa,2136
dramatic,dramaattinen,2137
universe,maailmankaikkeus,2138
gap,aukko,2139
excellent,erinomainen,2140
deeply,syvään,2141
prosecutor,syyttäjä,2142
mark,merkki,2143
green,vihreä,2144
lucky,onnekas,2145
drag,raahata,2146
airline,lentoyhtiö,2147
library,kirjasto,2148
agenda,esityslista,2149
recover,toipua,2150
factory,tehdas,2151
selection,valinta,2152
primarily,pääasiallisesti,2153
roof,katto,2154
unable,kykenemätön,2155
expense,kulu,2156
initiative,aloite,2157
diet,ruokavalio,2158
arrest,pidätys,2159
funding,rahoitus,2160
therapy,terapia,2161
wash,pestä,2162
schedule,ajoittaa,2163
sad,surullinen,2164
brief,lyhyt,2165
housing,kotelo,2166
post,lähettää,2167
purchase,ostaa,2168
existing,nykyinen,2169
dark,tumma,2170
steel,teräs,2171
regarding,suhteen,2172
shout,huutaa,2173
remaining,jäljelle jäänyt,2174
visual,visuaalinen,2175
fairly,melko,2176
chip,siru,2177
violent,väkivaltainen,2178
silent,hiljainen,2179
suppose,olettaa,2180
self,itse,2181
bike,pyörä,2182
tea,tee,2183
perceive,havaita,2184
comparison,vertailu,2185
settlement,tilitys,2186
layer,kerros,2187
planning,suunnittelu,2188
far,pitkälle,2189
description,kuvaus,2190
later,myöhemmin,2191
slow,hidas,2192
slide,dia,2193
widely,laajalti,2194
wedding,häät,2195
inform,ilmoittaa,2196
portion,osa,2197
territory,alue,2198
immediate,välitön,2199
opponent,vastustaja,2200
abandon,luopua,2201
link,linkki,2202
mass,massa-,2203
lake,järvi,2204
transform,muuttaa,2205
tension,jännitys,2206
display,näyttö,2207
leading,johtava,2208
bother,vaivautua,2209
consist,muodostuvat,2210
alcohol,alkoholi,2211
enable,ota käyttöön,2212
bend,mutka,2213
saving,tallentaa,2214
gain,saada,2215
desert,aavikko,2216
shall,on,2217
error,virhe,2218
release,julkaisu,2219
cop,poliisi,2220
Arab,arabi,2221
double,kaksinkertainen,2222
walk,kävellä,2223
sand,hiekka,2224
Spanish,Espanja,2225
rule,sääntö,2226
hit,osuma,2227
print,Tulosta,2228
preserve,säilyttää,2229
passage,kulku,2230
formal,muodollinen,2231
transition,siirtyminen,2232
existence,olemassaolo,2233
album,albumi,2234
participation,osallistumista,2235
arrange,järjestää,2236
atmosphere,ilmapiiri,2237
joint,yhteinen,2238
reply,Vastaa,2239
cycle,sykli,2240
opposite,vastapäätä,2241
lock,Lukko,2242
whole,koko,2243
deserve,ansaita,2244
consistent,johdonmukainen,2245
resistance,vastus,2246
discovery,löytö,2247
tear,repiä,2248
exposure,valotus,2249
pose,aiheuttaa,2250
stream,virta,2251
sale,myynti,2252
trust,luottamus,2253
benefit,hyöty,2254
pot,pannu,2255
grand,suuri,2256
mine,Kaivos,2257
hello,Hei,2258
coalition,koalitio,2259
tale,tarina,2260
knife,veitsi,2261
resolve,ratkaista,2262
racial,rodullinen,2263
phase,vaihe,2264
present,esittää,2265
joke,vitsi,2266
coat,takki,2267
Mexican,meksikolainen,2268
symptom,oire,2269
contact,ottaa yhteyttä,2270
manufacturer,valmistaja,2271
philosophy,filosofia,2272
potato,peruna,2273
interview,haastatella,2274
foundation,perusta,2275
quote,lainata,2276
online,verkossa,2277
pass,kulkea,2278
negotiation,neuvottelu,2279
good,hyvä,2280
urge,halu,2281
occasion,tilaisuus,2282
dust,pöly,2283
breathe,hengittää,2284
elect,valita,2285
investigator,tutkija,2286
jacket,takki,2287
glad,iloinen,2288
ordinary,tavallinen,2289
reduction,vähentäminen,2290
rarely,harvoin,2291
shift,siirtää,2292
pack,pakkaus,2293
suicide,itsemurha,2294
numerous,useat,2295
touch,kosketus,2296
substance,aine,2297
discipline,kuri,2298
elsewhere,muualla,2299
iron,rauta-,2300
practical,käytännöllinen,2301
moreover,lisäksi,2302
passion,intohimo,2303
volunteer,vapaaehtoinen,2304
implement,toteuttaa,2305
essentially,olennaisesti,2306
gene,geeni,2307
enforcement,täytäntöönpano,2308
vs,vs,2309
sauce,kastike,2310
independence,itsenäisyys,2311
marketing,markkinointi,2312
priest,pappi,2313
amazing,hämmästyttävä,2314
intense,voimakas,2315
advance,edetä,2316
employer,työnantaja,2317
shock,järkyttää,2318
inspire,innostaa,2319
adjust,säätää,2320
retire,jäädä eläkkeelle,2321
sure,varma,2322
visible,näkyvä,2323
kiss,suudella,2324
illness,sairaus,2325
cap,korkki,2326
habit,tapa,2327
competitive,kilpailukykyinen,2328
juice,mehu,2329
congressional,kongressin,2330
involvement,osallistuminen,2331
dominate,hallita,2332
previously,aiemmin,2333
whenever,milloin tahansa,2334
transfer,siirtää,2335
analyze,analysoida,2336
another,toinen,2337
attach,liittää,2338
for,varten,2339
Indian,intialainen,2340
disaster,katastrofi,2341
parking,pysäköinti,2342
prospect,näkymä,2343
boss,pomo,2344
complaint,valitus,2345
championship,mestaruus,2346
coach,valmentaja,2347
exercise,liikunta,2348
fundamental,perus-,2349
severe,vaikea,2350
enhance,parantaa,2351
mystery,mysteeri,2352
impose,määrätä,2353
poverty,köyhyys,2354
other,muut,2355
entry,merkintä,2356
fat,rasva,2357
spending,menot,2358
king,kuningas,2359
evaluate,arvioida,2360
symbol,symboli,2361
still,edelleen,2362
trade,käydä kauppaa,2363
maker,valmistaja,2364
mood,mieliala,2365
accomplish,suorittaa,2366
emphasis,painotus,2367
illustrate,valaista,2368
boot,saapas,2369
monitor,monitori,2370
Asian,aasialainen,2371
entertainment,viihde,2372
bean,papu,2373
evaluation,arviointi,2374
creature,olento,2375
commander,komentaja,2376
digital,digitaalinen,2377
arrangement,järjestely,2378
concentrate,keskittää,2379
total,kaikki yhteensä,2380
usual,tavallinen,2381
anger,suututtaa,2382
psychological,psykologinen,2383
heavily,raskaasti,2384
peak,huippu,2385
approximately,suunnilleen,2386
increasing,lisääntyy,2387
disorder,häiriö,2388
missile,ohjus,2389
equally,yhtä,2390
vary,vaihdella,2391
wire,johdin,2392
round,pyöristää,2393
distribution,jakelu,2394
transportation,kuljetus,2395
holy,pyhä,2396
ring,rengas,2397
twin,twin,2398
command,komento,2399
commission,komissio,2400
interpretation,tulkinta,2401
breakfast,aamiainen,2402
stop,Stop,2403
strongly,voimakkaasti,2404
engineering,tekniikka,2405
luck,onni,2406
so-called,niin sanottu,2407
constant,jatkuva,2408
race,rotu,2409
clinic,klinikka,2410
veteran,veteraani-,2411
smell,haju,2412
tablespoon,ruokalusikka,2413
capable,kykenevä,2414
nervous,hermostunut,2415
tourist,turisti,2416
light,valo,2417
toss,nakata,2418
crucial,ratkaiseva,2419
bury,haudata,2420
pray,rukoilla,2421
tomato,tomaatti,2422
exception,poikkeus,2423
butter,voi,2424
deficit,alijäämä,2425
bathroom,kylpyhuone,2426
objective,tavoite,2427
block,lohko,2428
electronic,elektroninen,2429
ally,liittolainen,2430
journey,matka,2431
reputation,maine,2432
mixture,seos,2433
surely,varmasti,2434
tower,torni,2435
smoke,savu,2436
confront,kohdata,2437
pure,puhdas,2438
glance,silmäys,2439
dimension,ulottuvuus,2440
toy,lelu,2441
prisoner,vanki,2442
fellow,kaveri,2443
smooth,sileä,2444
nearby,lähistöllä,2445
peer,vertainen,2446
designer,suunnittelija,2447
personnel,henkilöstö,2448
shape,muoto,2449
educator,kasvattaja,2450
relative,suhteellinen,2451
immigration,maahanmuutto,2452
belt,vyö,2453
teaspoon,teelusikka,2454
birthday,syntymäpäivä,2455
implication,epäsuorasti,2456
perfectly,täydellisesti,2457
coast,rannikko,2458
supporter,tukija,2459
accompany,seurata,2460
silver,hopea,2461
teenager,teini-ikäinen,2462
recognition,tunnustus,2463
retirement,eläke,2464
flag,lippu,2465
recovery,elpyminen,2466
whisper,kuiskaus,2467
watch,katsella,2468
gentleman,herrasmies,2469
corn,maissi,2470
moon,kuu,2471
inner,sisäinen,2472
junior,nuorempi,2473
rather,pikemminkin,2474
throat,kurkku,2475
salary,palkkaus,2476
swing,keinu,2477
observer,tarkkailija,2478
due,maksettava,2479
straight,suoraan,2480
publication,julkaisu,2481
pretty,nätti,2482
crop,sato,2483
dig,kaivaa,2484
strike,lakko,2485
permanent,pysyvä,2486
plant,kasvi,2487
phenomenon,ilmiö,2488
anxiety,levottomuus,2489
unlike,toisin kuin,2490
wet,märkä,2491
literally,kirjaimellisesti,2492
resist,vastustaa,2493
convention,sopimus,2494
embrace,omaksua,2495
supply,toimittaa,2496
assist,avustaa,2497
exhibition,näyttely,2498
construct,rakentaa,2499
viewer,katsoja,2500
pan,panoroida,2501
consultant,konsultti,2502
soon,pian,2503
line,linja,2504
administrator,järjestelmänvalvoja,2505
date,Treffi,2506
occasionally,silloin tällöin,2507
mayor,pormestari,2508
consideration,harkinta,2509
CEO,toimitusjohtaja,2510
secure,turvallinen,2511
pink,vaaleanpunainen,2512
smoke,savu,2513
estimate,arvio,2514
buck,pukki,2515
historic,historiallinen,2516
poem,runo,2517
grandmother,isoäiti,2518
bind,sitoa,2519
fifth,viides,2520
constantly,alituisesti,2521
enterprise,yritys,2522
favor,suosia,2523
testing,testaus,2524
stomach,vatsa,2525
apparent,näennäinen,2526
weigh,punnita,2527
install,Asentaa,2528
sensitive,herkkä,2529
suggestion,ehdotus,2530
mail,posti,2531
recipe,resepti,2532
reasonable,kohtuullinen,2533
preparation,valmistautuminen,2534
wooden,puinen,2535
elementary,perus,2536
concert,konsertti,2537
aggressive,aggressiivinen,2538
FALSE,VÄÄRÄ,2539
intention,tarkoitus,2540
channel,kanava,2541
extreme,äärimmäinen,2542
tube,putki,2543
drawing,piirustus,2544
protein,proteiini,2545
quit,lopettaa,2546
absence,poissaolo,2547
roll,rulla,2548
Latin,Latina,2549
rapidly,nopeasti,2550
jail,vankila,2551
comment,kommentti,2552
diversity,monimuotoisuus,2553
honest,rehellinen,2554
Palestinian,palestiinalainen,2555
pace,vauhti,2556
employment,työllisyys,2557
speaker,kaiutin,2558
impression,vaikutus,2559
essay,essee,2560
respondent,vastaaja,2561
giant,jättiläinen,2562
cake,kakku,2563
historian,historioitsija,2564
negotiate,neuvotella,2565
restore,palauttaa,2566
substantial,merkittävä,2567
pop,pop-,2568
particular,tietty,2569
specialist,asiantuntija,2570
origin,alkuperä,2571
approval,hyväksyminen,2572
mine,Kaivos,2573
quietly,hiljaa,2574
advise,neuvoa,2575
conventional,tavanomainen,2576
drop,pudota,2577
count,Kreivi,2578
depth,syvyys,2579
wealth,rikkaus,2580
disability,vammaisuus,2581
shell,kuori,2582
general,yleinen,2583
criticize,arvostella,2584
fast,nopeasti,2585
professional,ammattilainen,2586
effectively,tehokkaasti,2587
biological,biologinen,2588
pack,pakkaus,2589
onion,sipuli,2590
deputy,sijainen,2591
flat,tasainen,2592
brand,brändi,2593
assure,vakuuttaa,2594
mad,hullu,2595
award,myöntää,2596
criteria,kriteeri,2597
dealer,jakaja,2598
via,kautta,2599
alternative,vaihtoehto,2600
utility,apuohjelma,2601
precisely,tarkalleen ottaen,2602
arise,nousta,2603
armed,aseistettu,2604
nevertheless,tästä huolimatta,2605
highway,valtatie,2606
clinical,kliininen,2607
routine,rutiini,2608
schedule,ajoittaa,2609
wage,palkka,2610
normally,yleensä,2611
phrase,fraasi,2612
ingredient,ainesosa,2613
stake,panos,2614
Muslim,muslimi,2615
dream,unelma,2616
fiber,kuitu,2617
activist,aktivisti,2618
